t,orientacion,energometro,roboscanner,monstroscopio,vacuscopio,posicion_anterior,accion
0,-Y,False,False,True,False,"(4, 5, 5)",PROPULSOR
1,-Y,False,False,True,False,"(4, 5, 5)",PROPULSOR
2,-Y,False,False,True,False,"(4, 4, 5)",PROPULSOR
3,-Y,False,False,True,False,"(4, 3, 5)",PROPULSOR
4,-Y,False,False,True,True,"(4, 3, 5)",REORIENTADOR
5,+X,False,False,True,False,"(4, 3, 5)",PROPULSOR
6,+X,False,False,True,True,"(4, 3, 5)",REORIENTADOR
7,+Y,False,False,True,False,"(4, 3, 5)",PROPULSOR
8,+Y,False,False,True,False,"(4, 2, 5)",PROPULSOR
9,+Y,False,False,True,False,"(4, 3, 5)",PROPULSOR
10,+Y,False,False,True,False,"(4, 4, 5)",PROPULSOR
11,+Y,False,False,True,True,"(4, 4, 5)",REORIENTADOR
12,-X,False,False,True,False,"(4, 4, 5)",PROPULSOR
13,-X,False,False,True,False,"(4, 5, 5)",PROPULSOR
14,-X,False,False,True,False,"(3, 5, 5)",PROPULSOR
15,-X,False,False,True,False,"(2, 5, 5)",PROPULSOR
16,-X,False,False,True,False,"(1, 5, 5)",PROPULSOR
17,-X,False,False,True,True,"(1, 5, 5)",REORIENTADOR
18,-Y,False,False,True,False,"(1, 5, 5)",PROPULSOR
19,-Y,False,False,True,False,"(0, 5, 5)",PROPULSOR
20,-Y,False,False,True,True,"(0, 5, 5)",REORIENTADOR
21,+X,False,False,True,False,"(0, 5, 5)",PROPULSOR
22,+X,False,False,True,False,"(0, 4, 5)",PROPULSOR
23,+X,False,False,True,False,"(1, 4, 5)",PROPULSOR
24,+X,False,False,True,False,"(2, 4, 5)",PROPULSOR
25,+X,False,False,True,False,"(3, 4, 5)",PROPULSOR
26,+X,False,False,True,False,"(4, 4, 5)",PROPULSOR
27,+X,False,False,True,True,"(4, 4, 5)",REORIENTADOR
28,+Y,False,False,True,False,"(4, 4, 5)",PROPULSOR
29,+Y,False,False,True,False,"(5, 4, 5)",PROPULSOR
30,+Y,False,False,True,True,"(5, 4, 5)",REORIENTADOR
31,-X,False,False,True,False,"(5, 4, 5)",PROPULSOR
32,-X,False,False,True,False,"(5, 5, 5)",PROPULSOR
33,-X,False,False,True,False,"(4, 5, 5)",PROPULSOR
34,-X,False,False,True,False,"(3, 5, 5)",PROPULSOR
35,-X,False,False,True,False,"(2, 5, 5)",PROPULSOR
36,-X,False,False,True,False,"(1, 5, 5)",PROPULSOR
37,-X,False,False,True,True,"(1, 5, 5)",REORIENTADOR
38,-Y,False,False,True,False,"(1, 5, 5)",PROPULSOR
39,-Y,False,False,True,False,"(0, 5, 5)",PROPULSOR
40,-Y,False,False,True,True,"(0, 5, 5)",REORIENTADOR
41,+X,False,False,True,False,"(0, 5, 5)",PROPULSOR
42,+X,False,False,True,False,"(0, 4, 5)",PROPULSOR
43,+X,False,False,True,False,"(1, 4, 5)",PROPULSOR
44,+X,False,False,True,False,"(2, 4, 5)",PROPULSOR
45,+X,False,False,True,False,"(3, 4, 5)",PROPULSOR
46,+X,False,False,True,False,"(4, 4, 5)",PROPULSOR
47,+X,False,False,True,True,"(4, 4, 5)",REORIENTADOR
48,+Y,False,False,True,False,"(4, 4, 5)",PROPULSOR
49,+Y,False,False,True,False,"(5, 4, 5)",PROPULSOR
50,+Y,False,False,True,True,"(5, 4, 5)",REORIENTADOR
51,-X,False,False,True,False,"(5, 4, 5)",PROPULSOR
52,-X,False,False,True,False,"(5, 5, 5)",PROPULSOR
53,+Z,False,False,True,False,"(4, 5, 5)",PROPULSOR
54,+Z,False,False,True,True,"(4, 5, 5)",REORIENTADOR
55,+Y,False,False,True,False,"(4, 5, 5)",PROPULSOR
56,+Y,False,False,True,True,"(4, 5, 5)",REORIENTADOR
